taskFormSelectBox2,taskFormSelectBox3,taskFormSelectBox4,taskFormSelectBox5,taskFormSelectBox6,taskFormSelectBox7,taskFormSelectBox9,taskFormSelectBox10,taskFormSelectBox11,taskFormSelectBox12,taskFormSelectBox13,taskFormSelectBox14,taskFormSelectBox16,taskFormSelectBox17,taskFormSelectBox18,taskFormSelectBox19,taskFormSelectBox20,taskFormSelectBox21,taskFormSelectBox23,taskFormSelectBox24,taskFormSelectBox25,taskFormSelectBox26,taskFormSelectBox27,taskFormSelectBox28,taskFormSelectBox30,taskFormSelectBox31,taskFormSelectBox32,taskFormSelectBox33,taskFormSelectBox34,taskFormSelectBox35,taskFormSelectBox37,taskFormSelectBox38,taskFormSelectBox39,taskFormSelectBox40,taskFormSelectBox41,taskFormSelectBox42,taskFormTextArea43
就寝・起床,整理・整頓,衛生,飲食準備,飲食,娯楽,就寝・起床,娯楽,飲食準備,飲食,身体活動,衛生,仕事・学業,娯楽,衛生,飲食準備,飲食,就寝・起床,就寝・起床,娯楽,衛生,清掃・洗浄,飲食準備,飲食,就寝・起床,娯楽,飲食準備,飲食,娯楽,身体活動,飲食準備,飲食,衛生,娯楽,身体活動,就寝・起床,なし
就寝・起床,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,身体活動,仕事・学業,衛生,飲食準備,飲食,整理・整頓,身体活動,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,身体活動,飲食準備,飲食,清掃・洗浄,清掃・洗浄,身体活動,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,整理・整頓,娯楽,仕事・学業,飲食準備,飲食,整理・整頓,身体活動,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,整理・整頓,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,整理・整頓,清掃・洗浄,就寝・起床,無し
就寝・起床,衛生,身体活動,衛生,飲食,娯楽,仕事・学業,飲食,衛生,娯楽,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,娯楽,就寝・起床,就寝・起床,衛生,身体活動,衛生,飲食,娯楽,娯楽,飲食,衛生,娯楽,娯楽,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,衛生,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,衛生,清掃・洗浄,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,就寝・起床,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し。
就寝・起床,衛生,飲食準備,飲食,娯楽,清掃・洗浄,仕事・学業,仕事・学業,飲食準備,飲食,仕事・学業,仕事・学業,飲食準備,飲食,娯楽,身体活動,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,娯楽,清掃・洗浄,身体活動,清掃・洗浄,飲食準備,飲食,娯楽,整理・整頓,飲食準備,飲食,娯楽,清掃・洗浄,衛生,就寝・起床,無し
就寝・起床,衛生,身体活動,飲食準備,飲食,清掃・洗浄,衛生,飲食準備,飲食,清掃・洗浄,娯楽,仕事・学業,衛生,飲食準備,飲食,清掃・洗浄,娯楽,就寝・起床,就寝・起床,衛生,身体活動,飲食準備,飲食,清掃・洗浄,衛生,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,衛生,飲食準備,飲食,清掃・洗浄,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,衛生,その他,仕事・学業,仕事・学業,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,身体活動,娯楽,飲食準備,飲食,衛生,就寝・起床,就寝・起床,飲食準備,飲食,衛生,就寝・起床,整理・整頓,整理・整頓,娯楽,仕事・学業,身体活動,飲食準備,飲食,娯楽,娯楽,娯楽,飲食,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,仕事・学業,整理・整頓,飲食準備,飲食,就寝・起床,仕事・学業,整理・整頓,身体活動,仕事・学業,飲食準備,就寝・起床,飲食,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,仕事・学業,整理・整頓,飲食準備,飲食,就寝・起床,仕事・学業,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,娯楽,衛生,就寝・起床,なし
就寝・起床,衛生,飲食準備,飲食,娯楽,仕事・学業,仕事・学業,仕事・学業,飲食,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,身体活動,身体活動,飲食準備,飲食,清掃・洗浄,整理・整頓,娯楽,娯楽,飲食準備,飲食,娯楽,衛生,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,整理・整頓,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,身体活動,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,身体活動,飲食準備,飲食,娯楽,清掃・洗浄,整理・整頓,就寝・起床,就寝・起床,衛生,飲食準備,飲食,娯楽,整理・整頓,飲食準備,飲食,清掃・洗浄,娯楽,衛生,身体活動,飲食準備,飲食,娯楽,清掃・洗浄,整理・整頓,就寝・起床,無し
就寝・起床,飲食,衛生,娯楽,仕事・学業,身体活動,飲食準備,仕事・学業,仕事・学業,仕事・学業,就寝・起床,娯楽,飲食準備,娯楽,仕事・学業,仕事・学業,仕事・学業,就寝・起床,就寝・起床,飲食準備,飲食,衛生,仕事・学業,身体活動,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,娯楽,飲食準備,飲食,娯楽,仕事・学業,仕事・学業,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,衛生,整理・整頓,身体活動,娯楽,飲食準備,飲食,整理・整頓,娯楽,身体活動,就寝・起床,就寝・起床,飲食準備,飲食,整理・整頓,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,整理・整頓,身体活動,飲食準備,就寝・起床,飲食,清掃・洗浄,就寝・起床,整理・整頓,なし
就寝・起床,衛生,飲食準備,飲食,整理・整頓,仕事・学業,飲食準備,飲食,整理・整頓,就寝・起床,仕事・学業,娯楽,飲食準備,飲食,整理・整頓,身体活動,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,整理・整頓,娯楽,飲食,就寝・起床,娯楽,身体活動,整理・整頓,飲食準備,飲食,整理・整頓,就寝・起床,身体活動,衛生,就寝・起床,無し
就寝・起床,衛生,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,仕事・学業,仕事・学業,清掃・洗浄,衛生,飲食準備,飲食,娯楽,娯楽,就寝・起床,就寝・起床,飲食,衛生,娯楽,娯楽,娯楽,飲食,清掃・洗浄,清掃・洗浄,整理・整頓,身体活動,衛生,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,身体活動,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,就寝・起床,清掃・洗浄,飲食準備,飲食,衛生,清掃・洗浄,飲食準備,飲食,清掃・洗浄,衛生,身体活動,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,整理・整頓,衛生,仕事・学業,衛生,飲食準備,飲食,衛生,仕事・学業,衛生,飲食準備,飲食,整理・整頓,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,整理・整頓,清掃・洗浄,飲食準備,飲食,整理・整頓,娯楽,飲食,清掃・洗浄,飲食準備,飲食,整理・整頓,清掃・洗浄,衛生,就寝・起床,無し
就寝・起床,就寝・起床,就寝・起床,就寝・起床,就寝・起床,就寝・起床,飲食,飲食,飲食,飲食,飲食,飲食,娯楽,娯楽,娯楽,娯楽,整理・整頓,飲食,飲食準備,飲食,就寝・起床,飲食,就寝・起床,就寝・起床,飲食,飲食,就寝・起床,就寝・起床,清掃・洗浄,清掃・洗浄,飲食,娯楽,娯楽,衛生,娯楽,娯楽,無し
就寝・起床,飲食,衛生,娯楽,娯楽,娯楽,飲食準備,飲食,娯楽,娯楽,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,就寝・起床,清掃・洗浄,娯楽,娯楽,娯楽,娯楽,飲食準備,飲食,娯楽,娯楽,就寝・起床,娯楽,飲食準備,飲食,娯楽,娯楽,衛生,就寝・起床,無し
就寝・起床,衛生,娯楽,飲食準備,飲食,清掃・洗浄,飲食準備,飲食,清掃・洗浄,整理・整頓,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,なし
就寝・起床,衛生,飲食準備,飲食,身体活動,仕事・学業,飲食準備,飲食,衛生,娯楽,身体活動,仕事・学業,飲食準備,飲食,娯楽,身体活動,整理・整頓,就寝・起床,就寝・起床,衛生,飲食準備,飲食,身体活動,娯楽,飲食準備,飲食,衛生,身体活動,娯楽,その他,飲食準備,飲食,清掃・洗浄,身体活動,娯楽,就寝・起床,無し
就寝・起床,衛生,身体活動,飲食準備,飲食,衛生,仕事・学業,仕事・学業,仕事・学業,飲食,仕事・学業,仕事・学業,衛生,飲食準備,飲食,衛生,娯楽,就寝・起床,就寝・起床,衛生,身体活動,飲食準備,飲食,衛生,清掃・洗浄,娯楽,飲食,娯楽,就寝・起床,娯楽,娯楽,飲食準備,飲食,衛生,娯楽,就寝・起床,自分の日常生活を参考にしました。
就寝・起床,就寝・起床,衛生,飲食準備,飲食,仕事・学業,飲食,仕事・学業,仕事・学業,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,娯楽,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,娯楽,娯楽,飲食準備,飲食,娯楽,整理・整頓,娯楽,娯楽,飲食準備,飲食,整理・整頓,娯楽,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,整理・整頓,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,衛生,飲食準備,飲食,清掃・洗浄,娯楽,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,身体活動,飲食準備,飲食,清掃・洗浄,整理・整頓,娯楽,身体活動,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し。
就寝・起床,衛生,整理・整頓,飲食準備,飲食,整理・整頓,仕事・学業,仕事・学業,衛生,飲食準備,飲食,整理・整頓,仕事・学業,飲食準備,飲食,整理・整頓,衛生,就寝・起床,就寝・起床,衛生,整理・整頓,飲食準備,飲食,整理・整頓,仕事・学業,身体活動,衛生,飲食準備,飲食,整理・整頓,娯楽,飲食準備,飲食,整理・整頓,衛生,就寝・起床,無し
娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,娯楽,飲食準備,就寝・起床,飲食,清掃・洗浄,娯楽,身体活動,娯楽,就寝・起床,飲食準備,飲食,就寝・起床,娯楽,身体活動,飲食準備,飲食,清掃・洗浄,身体活動,飲食準備,飲食,娯楽,清掃・洗浄,娯楽,仕事・学業,飲食準備,飲食,娯楽,清掃・洗浄,衛生,就寝・起床,平日の洗い物は余裕がなければ休日の朝に回したり、カップ麺や紙皿などで洗うコストを減らしてます。
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,仕事・学業,仕事・学業,飲食,衛生,仕事・学業,清掃・洗浄,仕事・学業,仕事・学業,飲食,娯楽,衛生,就寝・起床,就寝・起床,就寝・起床,就寝・起床,衛生,飲食,娯楽,娯楽,娯楽,就寝・起床,娯楽,身体活動,身体活動,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,身体活動,仕事・学業,仕事・学業,飲食準備,飲食,娯楽,仕事・学業,その他,仕事・学業,飲食準備,飲食,仕事・学業,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,身体活動,清掃・洗浄,娯楽,整理・整頓,飲食準備,飲食,娯楽,身体活動,飲食準備,飲食,身体活動,娯楽,清掃・洗浄,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,整理・整頓,清掃・洗浄,衛生,娯楽,飲食準備,飲食,清掃・洗浄,衛生,身体活動,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,整理・整頓,飲食準備,飲食,清掃・洗浄,娯楽,身体活動,その他,飲食準備,飲食,清掃・洗浄,衛生,身体活動,就寝・起床,無し
就寝・起床,飲食準備,飲食,衛生,整理・整頓,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,飲食準備,飲食,衛生,整理・整頓,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,特にありません。ありがとうございました。
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,整理・整頓,仕事・学業,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,整理・整頓,娯楽,衛生,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,清掃・洗浄,仕事・学業,整理・整頓,身体活動,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,身体活動,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食,仕事・学業,仕事・学業,仕事・学業,仕事・学業,整理・整頓,仕事・学業,飲食,飲食準備,飲食,衛生,就寝・起床,就寝・起床,飲食準備,飲食,整理・整頓,清掃・洗浄,娯楽,飲食準備,飲食,娯楽,娯楽,娯楽,飲食,娯楽,娯楽,清掃・洗浄,飲食,衛生,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,就寝・起床,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,身体活動,衛生,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,衛生,身体活動,娯楽,飲食準備,飲食,清掃・洗浄,整理・整頓,娯楽,衛生,無し
就寝・起床,衛生,衛生,飲食準備,飲食,その他,その他,仕事・学業,飲食準備,飲食,清掃・洗浄,その他,衛生,飲食準備,飲食,娯楽,衛生,就寝・起床,就寝・起床,衛生,衛生,飲食準備,飲食,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,身体活動,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
衛生,飲食準備,飲食,娯楽,整理・整頓,身体活動,娯楽,飲食準備,飲食,仕事・学業,身体活動,清掃・洗浄,飲食準備,飲食,整理・整頓,娯楽,身体活動,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,身体活動,娯楽,娯楽,身体活動,飲食準備,飲食,身体活動,清掃・洗浄,飲食準備,飲食,娯楽,衛生,身体活動,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,飲食準備,飲食,整理・整頓,衛生,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,衛生,仕事・学業,仕事・学業,飲食準備,飲食,衛生,娯楽,仕事・学業,仕事・学業,飲食準備,飲食,娯楽,身体活動,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,娯楽,身体活動,飲食,娯楽,娯楽,飲食準備,飲食,整理・整頓,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,衛生,清掃・洗浄,仕事・学業,飲食準備,飲食,清掃・洗浄,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,就寝・起床,飲食準備,飲食,衛生,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,整理・整頓,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,仕事・学業,仕事・学業,仕事・学業,飲食,仕事・学業,仕事・学業,仕事・学業,仕事・学業,仕事・学業,仕事・学業,飲食,娯楽,娯楽,娯楽,就寝・起床,就寝・起床,就寝・起床,就寝・起床,就寝・起床,就寝・起床,就寝・起床,飲食準備,飲食,身体活動,娯楽,娯楽,娯楽,娯楽,娯楽,娯楽,飲食,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,仕事・学業,娯楽,衛生,身体活動,飲食準備,飲食,衛生,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,娯楽,清掃・洗浄,飲食準備,飲食,娯楽,就寝・起床,衛生,身体活動,就寝・起床,飲食準備,飲食,衛生,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,整理・整頓,衛生,仕事・学業,仕事・学業,飲食,仕事・学業,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,娯楽,就寝・起床,就寝・起床,飲食準備,飲食,整理・整頓,衛生,整理・整頓,飲食準備,飲食,娯楽,娯楽,娯楽,娯楽,飲食準備,飲食,整理・整頓,衛生,娯楽,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,その他,飲食準備,飲食,清掃・洗浄,娯楽,身体活動,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,衛生,飲食準備,飲食,清掃・洗浄,娯楽,身体活動,就寝・起床,無し
就寝・起床,衛生,飲食,身体活動,清掃・洗浄,その他,飲食準備,飲食,衛生,身体活動,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,娯楽,就寝・起床,就寝・起床,飲食,清掃・洗浄,身体活動,その他,飲食準備,飲食,衛生,仕事・学業,仕事・学業,仕事・学業,飲食準備,飲食,整理・整頓,衛生,娯楽,身体活動,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,衛生,娯楽,整理・整頓,飲食準備,飲食,清掃・洗浄,衛生,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,衛生,娯楽,仕事・学業,飲食準備,飲食,娯楽,仕事・学業,仕事・学業,衛生,飲食準備,飲食,娯楽,就寝・起床,就寝・起床,就寝・起床,衛生,飲食準備,飲食,娯楽,清掃・洗浄,娯楽,飲食,娯楽,清掃・洗浄,衛生,飲食準備,飲食,清掃・洗浄,娯楽,娯楽,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,仕事・学業,整理・整頓,飲食準備,飲食,娯楽,整理・整頓,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,身体活動,飲食準備,飲食,清掃・洗浄,整理・整頓,飲食準備,飲食,清掃・洗浄,娯楽,飲食,就寝・起床,飲食準備,飲食,清掃・洗浄,娯楽,清掃・洗浄,就寝・起床,無し
就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,就寝・起床,就寝・起床,飲食準備,飲食,清掃・洗浄,衛生,身体活動,飲食準備,飲食,清掃・洗浄,衛生,娯楽,娯楽,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,就寝・起床,無し
就寝・起床,衛生,飲食準備,飲食,娯楽,整理・整頓,飲食準備,飲食,衛生,娯楽,身体活動,仕事・学業,飲食準備,飲食,清掃・洗浄,衛生,娯楽,身体活動,就寝・起床,衛生,娯楽,飲食準備,飲食,整理・整頓,飲食準備,飲食,娯楽,清掃・洗浄,その他,整理・整頓,娯楽,飲食準備,飲食,清掃・洗浄,衛生,身体活動,無し
就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,衛生,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,仕事・学業,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,就寝・起床,衛生,飲食準備,飲食,清掃・洗浄,衛生,整理・整頓,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,飲食準備,飲食,清掃・洗浄,娯楽,衛生,就寝・起床,無し